Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
SAMD4A	ENST00000392067.3	sterile alpha motif domain containing 4A 	449	2	0	2	0	0	hsa-miR-126-5p	-0.04	-0.04	N/A
APC	ENST00000457016.1	adenomatous polyposis coli 	794	2	0	2	0	2	hsa-miR-126-5p	-0.04	-0.04	N/A
NLGN1	ENST00000457714.1	neuroligin 1 	36	2	0	0	2	3	hsa-miR-126-5p	-0.04	-0.04	N/A
SLFN13	ENST00000285013.6	schlafen family member 13 	11	1	0	0	1	0	hsa-miR-126-5p	-0.04	-0.04	N/A
KIAA1109	ENST00000388738.3	KIAA1109 	591	1	0	1	0	1	hsa-miR-126-5p	-0.04	-0.04	N/A
MIOX	ENST00000395732.3	myo-inositol oxygenase 	16	1	0	0	1	0	hsa-miR-126-5p	-0.04	-0.12	N/A
JAZF1	ENST00000283928.5	JAZF zinc finger 1 	869	2	0	1	1	0	hsa-miR-126-5p	-0.04	-0.09	N/A
KCNV1	ENST00000524391.1	potassium channel, subfamily V, member 1 	5	1	1	0	0	5	hsa-miR-126-5p	-0.04	-0.04	N/A
PRKACB	ENST00000370689.2	protein kinase, cAMP-dependent, catalytic, beta 	344	1	0	1	0	3	hsa-miR-126-5p	-0.04	-0.04	N/A
ATG12	ENST00000500945.2	autophagy related 12 	1822	1	0	0	1	4	hsa-miR-126-5p	-0.04	-0.08	N/A
BPNT1	ENST00000322067.7	3'(2'), 5'-bisphosphate nucleotidase 1 	201	1	0	0	1	1	hsa-miR-126-5p	-0.04	-0.04	N/A
PTH2R	ENST00000272847.2	parathyroid hormone 2 receptor 	5	1	1	0	0	1	hsa-miR-126-5p	-0.04	-0.04	N/A
FPGT-TNNI3K	ENST00000557284.2	FPGT-TNNI3K readthrough 	0	2	0	1	1	0	hsa-miR-126-5p	-0.04	-0.04	N/A
ANKRD20A4	ENST00000357336.3	ankyrin repeat domain 20 family, member A4 	5	1	0	1	0	0	hsa-miR-126-5p	-0.04	-0.04	N/A
ANKRD20A3	ENST00000254835.2	ankyrin repeat domain 20 family, member A3 	5	1	0	1	0	0	hsa-miR-126-5p	-0.04	-0.04	N/A
TNNI3K	ENST00000370891.2	TNNI3 interacting kinase 	5	2	0	1	1	0	hsa-miR-126-5p	-0.04	-0.04	N/A
PLCE1	ENST00000371380.3	phospholipase C, epsilon 1 	7	2	0	1	1	1	hsa-miR-126-5p	-0.04	-0.04	N/A
STC1	ENST00000290271.2	stanniocalcin 1 	2932	1	1	0	0	0	hsa-miR-126-5p	-0.04	-0.17	N/A
CLSTN2	ENST00000458420.3	calsyntenin 2 	119	3	0	3	0	1	hsa-miR-126-5p	-0.04	-0.06	N/A
ZNF615	ENST00000602063.1	zinc finger protein 615 	30	2	0	2	0	1	hsa-miR-126-5p	-0.03	-0.04	N/A
TNKS2	ENST00000371627.4	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2 	205	2	0	2	0	1	hsa-miR-126-5p	-0.03	-0.04	N/A
F2RL1	ENST00000296677.4	coagulation factor II (thrombin) receptor-like 1 	184	1	0	0	1	3	hsa-miR-126-5p	-0.03	-0.14	N/A
AGPAT5	ENST00000285518.6	1-acylglycerol-3-phosphate O-acyltransferase 5 	879	2	1	1	0	3	hsa-miR-126-5p	-0.03	-0.05	N/A
HOXD13	ENST00000392539.3	homeobox D13 	25	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.04	N/A
WWTR1	ENST00000465804.1	WW domain containing transcription regulator 1 	828	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.12	N/A
TNN	ENST00000239462.4	tenascin N 	17	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.12	N/A
TCTEX1D1	ENST00000282670.2	Tctex1 domain containing 1 	20	1	0	1	0	1	hsa-miR-126-5p	-0.03	-0.09	N/A
METAP1	ENST00000296411.6	methionyl aminopeptidase 1 	887	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.04	N/A
C2orf49	ENST00000258457.2	chromosome 2 open reading frame 49 	161	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.06	N/A
GCC1	ENST00000321407.2	GRIP and coiled-coil domain containing 1 	26	3	1	2	0	1	hsa-miR-126-5p	-0.03	-0.07	N/A
ING5	ENST00000313552.6	inhibitor of growth family, member 5 	529	2	0	0	2	0	hsa-miR-126-5p	-0.03	-0.05	N/A
TPP2	ENST00000376052.3	tripeptidyl peptidase II 	240	2	0	0	2	1	hsa-miR-126-5p	-0.03	-0.12	N/A
DYNC1LI2	ENST00000258198.2	dynein, cytoplasmic 1, light intermediate chain 2 	137	1	0	0	1	0	hsa-miR-126-5p	-0.03	-0.06	N/A
GK	ENST00000378946.3	glycerol kinase 	38	1	1	0	0	5	hsa-miR-126-5p	-0.03	-0.04	N/A
AP5M1	ENST00000261558.3	adaptor-related protein complex 5, mu 1 subunit 	198	3	0	1	2	7	hsa-miR-126-5p	-0.03	-0.14	N/A
INPP4B	ENST00000513000.1	inositol polyphosphate-4-phosphatase, type II, 105kDa 	43	3	0	1	2	2	hsa-miR-126-5p	-0.03	-0.07	N/A
MCOLN2	ENST00000370608.3	mucolipin 2 	39	2	0	1	1	0	hsa-miR-126-5p	-0.03	-0.06	N/A
TBC1D4	ENST00000377636.3	TBC1 domain family, member 4 	96	4	3	1	0	1	hsa-miR-126-5p	-0.03	-0.11	N/A
AKAP5	ENST00000394718.4	A kinase (PRKA) anchor protein 5 	75	2	0	1	1	3	hsa-miR-126-5p	-0.03	-0.04	N/A
CBFB	ENST00000290858.6	core-binding factor, beta subunit 	3904	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.04	N/A
SPATA2	ENST00000289431.5	spermatogenesis associated 2 	358	2	1	0	1	0	hsa-miR-126-5p	-0.03	-0.25	N/A
CLVS2	ENST00000275162.5	clavesin 2 	19	4	0	3	1	3	hsa-miR-126-5p	-0.03	-0.07	N/A
LOX	ENST00000231004.4	lysyl oxidase 	3441	3	1	2	0	1	hsa-miR-126-5p	-0.03	-0.10	N/A
TMEM215	ENST00000342743.5	transmembrane protein 215 	5	2	0	1	1	1	hsa-miR-126-5p	-0.03	-0.06	N/A
PARP12	ENST00000263549.3	poly (ADP-ribose) polymerase family, member 12 	16	2	0	2	0	0	hsa-miR-126-5p	-0.03	-0.04	N/A
THRB	ENST00000396671.2	thyroid hormone receptor, beta 	55	2	1	1	0	0	hsa-miR-126-5p	-0.03	-0.05	N/A
MTUS1	ENST00000381869.3	microtubule associated tumor suppressor 1 	215	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.03	N/A
RMI1	ENST00000325875.3	RecQ mediated genome instability 1 	409	1	0	1	0	1	hsa-miR-126-5p	-0.03	-0.03	N/A
ANGPTL2	ENST00000373425.3	angiopoietin-like 2 	39	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.03	N/A
KCNG3	ENST00000306078.1	potassium voltage-gated channel, subfamily G, member 3 	55	1	1	0	0	3	hsa-miR-126-5p	-0.03	-0.03	N/A
GBP3	ENST00000370481.4	guanylate binding protein 3 	72	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.03	N/A
SBDS	ENST00000246868.2	Shwachman-Bodian-Diamond syndrome 	5	1	0	1	0	0	hsa-miR-126-5p	-0.03	-0.03	N/A
STON1	ENST00000309835.3	stonin 1 	254	1	0	0	1	0	hsa-miR-126-5p	-0.03	-0.03	N/A
DIRAS2	ENST00000375765.3	DIRAS family, GTP-binding RAS-like 2 	5	2	0	1	1	2	hsa-miR-126-5p	-0.03	-0.05	N/A
NFE2L3	ENST00000056233.3	nuclear factor, erythroid 2-like 3 	36	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.03	N/A
TM4SF1	ENST00000472441.1	transmembrane 4 L six family member 1 	1401	1	0	1	0	0	hsa-miR-126-5p	-0.03	-0.03	N/A
PRDM1	ENST00000369089.3	PR domain containing 1, with ZNF domain 	48	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.04	N/A
ANKRD33B	ENST00000296657.5	ankyrin repeat domain 33B 	9	4	1	2	1	0	hsa-miR-126-5p	-0.03	-0.08	N/A
IPP	ENST00000396478.3	intracisternal A particle-promoted polypeptide 	216	1	1	0	0	2	hsa-miR-126-5p	-0.03	-0.04	N/A
TNIK	ENST00000436636.2	TRAF2 and NCK interacting kinase 	106	5	1	2	2	3	hsa-miR-126-5p	-0.03	-0.10	N/A
BICD1	ENST00000548411.1	bicaudal D homolog 1 (Drosophila) 	205	2	0	2	0	4	hsa-miR-126-5p	-0.03	-0.04	N/A
PANX1	ENST00000227638.3	pannexin 1 	576	2	1	1	0	2	hsa-miR-126-5p	-0.03	-0.05	N/A
FNIP2	ENST00000264433.6	folliculin interacting protein 2 	266	1	0	0	1	0	hsa-miR-126-5p	-0.03	-0.05	N/A
AGMAT	ENST00000375826.3	agmatine ureohydrolase (agmatinase) 	331	1	0	0	1	0	hsa-miR-126-5p	-0.03	-0.05	N/A
SLC16A4	ENST00000437429.2	solute carrier family 16, member 4 	19	1	0	0	1	0	hsa-miR-126-5p	-0.03	-0.17	N/A
CCDC38	ENST00000546386.1	coiled-coil domain containing 38 	10	1	0	1	0	0	hsa-miR-126-5p	-0.03	-0.05	N/A
ZZZ3	ENST00000370801.3	zinc finger, ZZ-type containing 3 	338	3	1	1	1	1	hsa-miR-126-5p	-0.03	-0.06	N/A
NFYA	ENST00000341376.6	nuclear transcription factor Y, alpha 	177	2	1	1	0	2	hsa-miR-126-5p	-0.03	-0.05	N/A
USP47	ENST00000339865.5	ubiquitin specific peptidase 47 	665	3	2	1	0	1	hsa-miR-126-5p	-0.03	-0.08	N/A
NRG1	ENST00000341377.5	neuregulin 1 	113	1	1	0	0	1	hsa-miR-126-5p	-0.03	-0.04	N/A
PTPLAD2	ENST00000495827.2	protein tyrosine phosphatase-like A domain containing 2 	17	5	2	3	0	2	hsa-miR-126-5p	-0.03	-0.12	N/A
FAM206A	ENST00000322940.6	family with sequence similarity 206, member A 	266	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.05	N/A
EXOSC2	ENST00000372358.5	exosome component 2 	852	2	1	0	1	0	hsa-miR-126-5p	-0.03	-0.05	N/A
FTSJ2	ENST00000440306.2	FtsJ RNA methyltransferase homolog 2 (E. coli) 	2880	1	0	0	1	0	hsa-miR-126-5p	-0.03	-0.11	N/A
ATP8B1	ENST00000283684.4	ATPase, aminophospholipid transporter, class I, type 8B, member 1 	497	1	1	0	0	1	hsa-miR-126-5p	-0.03	-0.04	N/A
TBRG1	ENST00000441174.3	transforming growth factor beta regulator 1 	275	2	1	0	1	0	hsa-miR-126-5p	-0.03	-0.10	N/A
IL11	ENST00000264563.2	interleukin 11 	483	1	0	0	1	0	hsa-miR-126-5p	-0.03	-0.14	N/A
ENPP1	ENST00000360971.2	ectonucleotide pyrophosphatase/phosphodiesterase 1 	159	2	0	2	0	0	hsa-miR-126-5p	-0.03	-0.04	N/A
TGS1	ENST00000260129.5	trimethylguanosine synthase 1 	662	2	1	1	0	1	hsa-miR-126-5p	-0.03	-0.10	N/A
NKD1	ENST00000268459.3	naked cuticle homolog 1 (Drosophila) 	26	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.03	N/A
NCAPD3	ENST00000534548.2	non-SMC condensin II complex, subunit D3 	990	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.03	N/A
HERC3	ENST00000402738.1	HECT and RLD domain containing E3 ubiquitin protein ligase 3 	50	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.03	N/A
FAM84B	ENST00000304916.3	family with sequence similarity 84, member B 	45	1	0	1	0	0	hsa-miR-126-5p	-0.03	-0.03	N/A
LRCH3	ENST00000438796.2	leucine-rich repeats and calponin homology (CH) domain containing 3 	399	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.03	N/A
EHHADH	ENST00000231887.3	enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase 	150	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.03	N/A
PHF7	ENST00000327906.3	PHD finger protein 7 	38	3	1	1	1	0	hsa-miR-126-5p	-0.03	-0.06	N/A
TRPC4	ENST00000379705.3	transient receptor potential cation channel, subfamily C, member 4 	21	3	2	0	1	5	hsa-miR-126-5p	-0.03	-0.13	N/A
FREM2	ENST00000280481.7	FRAS1 related extracellular matrix protein 2 	33	4	0	0	4	2	hsa-miR-126-5p	-0.03	-0.05	N/A
NT5DC1	ENST00000319550.4	5'-nucleotidase domain containing 1 	127	6	0	3	3	4	hsa-miR-126-5p	-0.03	-0.15	N/A
AL021546.6	ENST00000551806.1	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial  	781	2	0	0	2	0	hsa-miR-126-5p	-0.03	-0.05	N/A
ARSD	ENST00000381154.1	arylsulfatase D 	70	1	0	0	1	2	hsa-miR-126-5p	-0.03	-0.04	N/A
SEMA6D	ENST00000355997.3	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D 	179	2	1	0	1	0	hsa-miR-126-5p	-0.03	-0.04	N/A
EFNA5	ENST00000333274.6	ephrin-A5 	225	1	0	0	1	2	hsa-miR-126-5p	-0.03	-0.03	N/A
FRMD5	ENST00000484674.1	FERM domain containing 5 	161	1	0	0	1	2	hsa-miR-126-5p	-0.03	-0.04	N/A
NACC2	ENST00000371753.1	NACC family member 2, BEN and BTB (POZ) domain containing 	172	3	0	1	2	0	hsa-miR-126-5p	-0.03	-0.05	N/A
SLC5A3	ENST00000608209.1	sodium/myo-inositol cotransporter  	24	3	2	1	0	3	hsa-miR-126-5p	-0.03	-0.08	N/A
PCNX	ENST00000304743.2	pecanex homolog (Drosophila) 	458	3	0	2	1	2	hsa-miR-126-5p	-0.03	-0.05	N/A
COBLL1	ENST00000375458.2	cordon-bleu WH2 repeat protein-like 1 	70	2	1	0	1	3	hsa-miR-126-5p	-0.03	-0.05	N/A
CHODL	ENST00000400128.1	chondrolectin 	26	2	0	2	0	1	hsa-miR-126-5p	-0.03	-0.04	N/A
LZIC	ENST00000377223.1	leucine zipper and CTNNBIP1 domain containing 	508	1	0	0	1	2	hsa-miR-126-5p	-0.03	-0.04	N/A
ZNF529	ENST00000334116.7	zinc finger protein 529 	120	1	0	0	1	0	hsa-miR-126-5p	-0.03	-0.07	N/A
MTFR1	ENST00000458689.2	mitochondrial fission regulator 1 	1051	1	1	0	0	1	hsa-miR-126-5p	-0.03	-0.03	N/A
NCOR1	ENST00000268712.3	nuclear receptor corepressor 1 	268	3	1	1	1	1	hsa-miR-126-5p	-0.03	-0.06	N/A
SACM1L	ENST00000389061.5	SAC1 suppressor of actin mutations 1-like (yeast) 	159	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.04	N/A
TMTC2	ENST00000321196.3	transmembrane and tetratricopeptide repeat containing 2 	173	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.03	N/A
GRAMD3	ENST00000285689.3	GRAM domain containing 3 	232	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.05	N/A
GMCL1	ENST00000282570.3	germ cell-less, spermatogenesis associated 1 	360	2	0	1	1	2	hsa-miR-126-5p	-0.03	-0.03	N/A
CMBL	ENST00000296658.3	carboxymethylenebutenolidase homolog (Pseudomonas) 	2602	1	0	1	0	1	hsa-miR-126-5p	-0.03	-0.05	N/A
INA	ENST00000369849.4	internexin neuronal intermediate filament protein, alpha 	46	1	0	0	1	2	hsa-miR-126-5p	-0.03	-0.04	N/A
CUL2	ENST00000374746.1	cullin 2 	27	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.04	N/A
PPP4R1L	ENST00000334187.8	protein phosphatase 4, regulatory subunit 1-like 	27	1	0	0	1	2	hsa-miR-126-5p	-0.03	-0.06	N/A
SLC35B4	ENST00000378509.4	solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4 	899	3	0	2	1	0	hsa-miR-126-5p	-0.03	-0.05	N/A
PPP2R5E	ENST00000337537.3	protein phosphatase 2, regulatory subunit B', epsilon isoform 	23	2	1	0	1	0	hsa-miR-126-5p	-0.03	-0.04	N/A
CLHC1	ENST00000406437.2	clathrin heavy chain linker domain containing 1 	21	2	1	0	1	0	hsa-miR-126-5p	-0.03	-0.05	N/A
ANKRD12	ENST00000262126.4	ankyrin repeat domain 12 	11	2	0	2	0	0	hsa-miR-126-5p	-0.03	-0.04	N/A
FCRL2	ENST00000361516.3	Fc receptor-like 2 	5	1	0	1	0	1	hsa-miR-126-5p	-0.03	-0.05	N/A
PNISR	ENST00000369239.5	PNN-interacting serine/arginine-rich protein 	600	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.05	N/A
TMEM150C	ENST00000515780.2	transmembrane protein 150C 	8	1	0	1	0	0	hsa-miR-126-5p	-0.03	-0.03	N/A
LRRC57	ENST00000397130.3	leucine rich repeat containing 57 	168	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.03	N/A
CCDC82	ENST00000278520.5	coiled-coil domain containing 82 	224	1	0	1	0	1	hsa-miR-126-5p	-0.03	-0.03	N/A
CCDC15	ENST00000344762.5	coiled-coil domain containing 15 	134	1	0	1	0	1	hsa-miR-126-5p	-0.03	-0.03	N/A
ABCB10	ENST00000344517.4	ATP-binding cassette, sub-family B (MDR/TAP), member 10 	53	1	0	1	0	2	hsa-miR-126-5p	-0.03	-0.03	N/A
RBM22	ENST00000199814.4	RNA binding motif protein 22 	4854	1	1	0	0	1	hsa-miR-126-5p	-0.03	-0.06	N/A
MRPL47	ENST00000476781.1	mitochondrial ribosomal protein L47 	2164	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.12	N/A
CLCC1	ENST00000356970.2	chloride channel CLIC-like 1 	849	2	0	0	2	3	hsa-miR-126-5p	-0.03	-0.10	N/A
PDE5A	ENST00000354960.3	phosphodiesterase 5A, cGMP-specific 	69	2	0	0	2	3	hsa-miR-126-5p	-0.03	-0.04	N/A
PLA2G12A	ENST00000243501.5	phospholipase A2, group XIIA 	214	4	0	2	2	2	hsa-miR-126-5p	-0.03	-0.27	N/A
C16orf52	ENST00000542527.2	chromosome 16 open reading frame 52 	102	2	0	1	1	0	hsa-miR-126-5p	-0.03	-0.08	N/A
HOMER1	ENST00000508576.1	homer homolog 1 (Drosophila) 	394	1	0	0	1	3	hsa-miR-126-5p	-0.03	-0.03	N/A
SOWAHC	ENST00000356454.3	sosondowah ankyrin repeat domain family member C 	431	1	0	0	1	3	hsa-miR-126-5p	-0.03	-0.04	N/A
APPL1	ENST00000288266.3	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1 	908	2	0	1	1	3	hsa-miR-126-5p	-0.03	-0.08	N/A
LPGAT1	ENST00000366997.4	lysophosphatidylglycerol acyltransferase 1 	135	2	0	0	2	2	hsa-miR-126-5p	-0.03	-0.05	N/A
DDX55	ENST00000238146.4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 	152	1	0	0	1	0	hsa-miR-126-5p	-0.03	-0.03	N/A
NDNF	ENST00000379692.4	neuron-derived neurotrophic factor 	51	3	0	3	0	2	hsa-miR-126-5p	-0.03	-0.07	N/A
ASH2L	ENST00000343823.6	ash2 (absent, small, or homeotic)-like (Drosophila) 	140	2	0	0	2	1	hsa-miR-126-5p	-0.03	-0.04	N/A
RYBP	ENST00000477973.2	RING1 and YY1 binding protein 	342	2	1	0	1	3	hsa-miR-126-5p	-0.03	-0.04	N/A
ATP8A1	ENST00000381668.5	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 	48	2	0	0	2	2	hsa-miR-126-5p	-0.03	-0.03	N/A
ADH5	ENST00000296412.8	alcohol dehydrogenase 5 (class III), chi polypeptide 	217	2	0	1	1	3	hsa-miR-126-5p	-0.03	-0.08	N/A
CCNB1IP1	ENST00000398160.2	cyclin B1 interacting protein 1, E3 ubiquitin protein ligase 	20	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.06	N/A
PHF14	ENST00000403050.3	PHD finger protein 14 	112	4	0	3	1	1	hsa-miR-126-5p	-0.03	-0.17	N/A
UHRF1BP1L	ENST00000279907.7	UHRF1 binding protein 1-like 	369	2	0	2	0	3	hsa-miR-126-5p	-0.03	-0.04	N/A
DDX21	ENST00000354185.4	DEAD (Asp-Glu-Ala-Asp) box helicase 21 	202	2	1	0	1	2	hsa-miR-126-5p	-0.03	-0.11	N/A
METTL7A	ENST00000332160.4	methyltransferase like 7A 	695	1	0	1	0	1	hsa-miR-126-5p	-0.03	-0.03	N/A
FAM105B	ENST00000284274.4	family with sequence similarity 105, member B 	247	3	1	2	0	2	hsa-miR-126-5p	-0.03	-0.07	N/A
SOCS5	ENST00000306503.5	suppressor of cytokine signaling 5 	72	3	0	2	1	3	hsa-miR-126-5p	-0.03	-0.05	N/A
PABPC3	ENST00000281589.3	poly(A) binding protein, cytoplasmic 3 	5	1	0	0	1	0	hsa-miR-126-5p	-0.03	-0.03	N/A
AHCTF1	ENST00000366508.1	AT hook containing transcription factor 1 	5	2	0	1	1	3	hsa-miR-126-5p	-0.03	-0.03	N/A
ZNF274	ENST00000326804.4	zinc finger protein 274 	113	1	0	1	0	0	hsa-miR-126-5p	-0.03	-0.03	N/A
PSG1	ENST00000244296.2	pregnancy specific beta-1-glycoprotein 1 	5	1	0	1	0	1	hsa-miR-126-5p	-0.03	-0.03	N/A
ULBP1	ENST00000229708.3	UL16 binding protein 1 	16	2	0	1	1	1	hsa-miR-126-5p	-0.03	-0.03	N/A
EPOR	ENST00000592375.2	erythropoietin receptor 	96	1	1	0	0	0	hsa-miR-126-5p	-0.03	-0.19	N/A
CTDSPL2	ENST00000260327.4	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 	457	3	0	1	2	1	hsa-miR-126-5p	-0.03	-0.04	N/A
POLK	ENST00000241436.4	polymerase (DNA directed) kappa 	294	2	1	0	1	3	hsa-miR-126-5p	-0.03	-0.04	N/A
SNX2	ENST00000379516.2	sorting nexin 2 	397	4	2	1	1	5	hsa-miR-126-5p	-0.03	-0.22	N/A
C6	ENST00000337836.5	complement component 6 	10	1	1	0	0	3	hsa-miR-126-5p	-0.03	-0.05	N/A
TMX3	ENST00000299608.2	thioredoxin-related transmembrane protein 3 	348	1	0	1	0	6	hsa-miR-126-5p	-0.03	-0.04	N/A
SLC35E3	ENST00000398004.2	solute carrier family 35, member E3 	250	2	1	1	0	0	hsa-miR-126-5p	-0.03	-0.05	N/A
NDUFC2	ENST00000281031.4	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa 	2005	2	0	0	2	1	hsa-miR-126-5p	-0.03	-0.21	N/A
TSC22D2	ENST00000361875.3	TSC22 domain family, member 2 	1062	9	0	3	6	5	hsa-miR-126-5p	-0.03	-0.79	N/A
BHMT2	ENST00000255192.3	betaine--homocysteine S-methyltransferase 2 	297	1	0	0	1	3	hsa-miR-126-5p	-0.03	-0.06	N/A
AMER2	ENST00000357816.2	APC membrane recruitment protein 2 	7	2	1	0	1	3	hsa-miR-126-5p	-0.03	-0.04	N/A
OSBPL11	ENST00000296220.5	oxysterol binding protein-like 11 	101	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.09	N/A
PHTF2	ENST00000416283.2	putative homeodomain transcription factor 2 	1730	3	0	1	2	5	hsa-miR-126-5p	-0.03	-0.04	N/A
FEM1B	ENST00000306917.4	fem-1 homolog b (C. elegans) 	656	2	1	1	0	2	hsa-miR-126-5p	-0.03	-0.05	N/A
RP5-850E9.3	ENST00000488788.2	Uncharacterized protein  	10	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.06	N/A
GCOM1	ENST00000380568.3	GRINL1A complex locus 1 	21	1	0	0	1	2	hsa-miR-126-5p	-0.03	-0.04	N/A
DCTN5	ENST00000300087.2	dynactin 5 (p25) 	764	2	1	0	1	2	hsa-miR-126-5p	-0.03	-0.04	N/A
TMEM59	ENST00000371348.1	transmembrane protein 59 	5104	3	1	1	1	3	hsa-miR-126-5p	-0.03	-0.14	N/A
ZNF678	ENST00000343776.5	zinc finger protein 678 	89	3	0	1	2	6	hsa-miR-126-5p	-0.03	-0.08	N/A
CCNDBP1	ENST00000300213.4	cyclin D-type binding-protein 1 	1136	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.13	N/A
FAM20B	ENST00000263733.4	family with sequence similarity 20, member B 	113	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.04	N/A
FGFBP3	ENST00000311575.5	fibroblast growth factor binding protein 3 	148	1	1	0	0	1	hsa-miR-126-5p	-0.03	-0.04	N/A
TMEM170A	ENST00000357613.4	transmembrane protein 170A 	70	1	0	0	1	1	hsa-miR-126-5p	-0.03	-0.05	N/A
RNF38	ENST00000259605.6	ring finger protein 38 	348	2	0	1	1	2	hsa-miR-126-5p	-0.03	-0.03	N/A
DHX40	ENST00000251241.4	DEAH (Asp-Glu-Ala-His) box polypeptide 40 	538	3	1	0	2	2	hsa-miR-126-5p	-0.03	-0.05	N/A
KCNMB3	ENST00000497599.1	potassium large conductance calcium-activated channel, subfamily M beta member 3 	8	2	0	2	0	3	hsa-miR-126-5p	-0.03	-0.08	N/A
ENPP6	ENST00000296741.2	ectonucleotide pyrophosphatase/phosphodiesterase 6 	5	4	1	1	2	1	hsa-miR-126-5p	-0.03	-0.14	N/A
ABCD2	ENST00000308666.3	ATP-binding cassette, sub-family D (ALD), member 2 	5	4	1	1	2	4	hsa-miR-126-5p	-0.03	-0.11	N/A
DISC1	ENST00000439617.2	disrupted in schizophrenia 1 	132	1	1	0	0	1	hsa-miR-126-5p	-0.03	-0.03	N/A
JAKMIP3	ENST00000298622.4	Janus kinase and microtubule interacting protein 3 	5	1	1	0	0	0	hsa-miR-126-5p	-0.03	-0.03	N/A
ITGA9	ENST00000264741.5	integrin, alpha 9 	9	1	1	0	0	0	hsa-miR-126-5p	-0.03	-0.03	N/A
SHANK2	ENST00000449833.2	SH3 and multiple ankyrin repeat domains 2 	26	1	1	0	0	1	hsa-miR-126-5p	-0.03	-0.03	N/A
KIDINS220	ENST00000256707.3	kinase D-interacting substrate, 220kDa 	87	1	1	0	0	1	hsa-miR-126-5p	-0.03	-0.03	N/A
AKAP11	ENST00000025301.2	A kinase (PRKA) anchor protein 11 	71	1	1	0	0	4	hsa-miR-126-5p	-0.03	-0.03	N/A
AR	ENST00000374690.3	androgen receptor 	57	1	1	0	0	2	hsa-miR-126-5p	-0.03	-0.03	N/A
PPP6R3	ENST00000393800.2	protein phosphatase 6, regulatory subunit 3 	400	1	1	0	0	1	hsa-miR-126-5p	-0.03	-0.03	N/A
SGK494	ENST00000301037.5	uncharacterized serine/threonine-protein kinase SgK494  	17	1	1	0	0	2	hsa-miR-126-5p	-0.03	-0.03	N/A
PELI3	ENST00000320740.7	pellino E3 ubiquitin protein ligase family member 3 	257	1	1	0	0	0	hsa-miR-126-5p	-0.03	-0.03	N/A
NTRK3	ENST00000394480.2	neurotrophic tyrosine kinase, receptor, type 3 	7	1	1	0	0	0	hsa-miR-126-5p	-0.03	-0.03	N/A
MYCN	ENST00000281043.3	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog 	73	1	1	0	0	0	hsa-miR-126-5p	-0.03	-0.03	N/A
ELAVL3	ENST00000359227.3	ELAV like neuron-specific RNA binding protein 3 	5	1	1	0	0	0	hsa-miR-126-5p	-0.03	-0.03	N/A
ABCA10	ENST00000416101.2	ATP-binding cassette, sub-family A (ABC1), member 10 	7	1	1	0	0	4	hsa-miR-126-5p	-0.03	-0.03	N/A
