Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
EFCAB4A	ENST00000450448.1	EF-hand calcium binding domain 4A 	51	2	0	2	0	0	0	0	0	0	hsa-miR-497-5p	-0.26	-0.26	ORF	2007, 2009, 2011
CECR6	ENST00000399875.1	cat eye syndrome chromosome region, candidate 6 	5	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.26	-0.26	0.69	2005, 2007, 2009, 2011
FBXO17	ENST00000292852.4	F-box protein 17 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.26	-0.26	ORF	2009, 2011
THUMPD1	ENST00000381337.2	THUMP domain containing 1 	39	1	0	0	1	0	0	0	0	0	hsa-miR-424-5p	-0.26	-0.26	0.84	2011
RANBP3	ENST00000439268.2	RAN binding protein 3 	908	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.26	-0.26	0.75	2005, 2007, 2009, 2011
LRCH3	ENST00000438796.2	leucine-rich repeats and calponin homology (CH) domain containing 3 	399	1	0	1	0	1	0	1	0	0	hsa-miR-15a-5p	-0.26	-0.26	0.63	
GCNT4	ENST00000322348.4	glucosaminyl (N-acetyl) transferase 4, core 2 	19	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.26	-0.36	0.71	
PCDH17	ENST00000377918.3	protocadherin 17 	477	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.26	-0.28	0.76	2005, 2007, 2009, 2011
SPOCK3	ENST00000357154.3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3 	46	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.26	-0.26	0.64	2009, 2011
IL10RA	ENST00000227752.3	interleukin 10 receptor, alpha 	5	1	1	0	0	2	0	2	0	1	hsa-miR-424-5p	-0.26	-0.28	0.12	2011
COPS7B	ENST00000373608.3	COP9 signalosome subunit 7B 	331	1	0	1	0	0	0	0	0	2	hsa-miR-15a-5p	-0.25	-0.30	< 0.1	2005, 2007, 2009, 2011
CNIH2	ENST00000528852.1	cornichon family AMPA receptor auxiliary protein 2 	158	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.25	-0.25	0.69	2005, 2007, 2009, 2011
ANKIB1	ENST00000265742.3	ankyrin repeat and IBR domain containing 1 	127	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.25	-0.25	0.65	2011
EPHA1	ENST00000275815.3	EPH receptor A1 	13	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.25	-0.25	0.67	2005, 2007, 2009, 2011
EML6	ENST00000356458.6	echinoderm microtubule associated protein like 6 	39	1	0	1	0	1	1	0	0	1	hsa-miR-16-5p	-0.25	-0.25	0.59	2011
EIF5A	ENST00000336452.7	eukaryotic translation initiation factor 5A 	756	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.25	-0.37	0.47	
CAMSAP1	ENST00000389532.4	calmodulin regulated spectrin-associated protein 1 	966	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.25	-0.29	0.77	2005, 2007, 2009, 2011
LAMC1	ENST00000258341.4	laminin, gamma 1 (formerly LAMB2) 	1082	1	0	1	0	1	0	1	0	1	hsa-miR-497-5p	-0.25	-0.29	0.61	2005, 2007, 2009, 2011
CIAPIN1	ENST00000565961.1	cytokine induced apoptosis inhibitor 1 	423	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.25	-0.25	0.72	2009
LPHN2	ENST00000370715.1	latrophilin 2 	407	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.25	-0.25	0.71	2005, 2007, 2009, 2011
MAP3K3	ENST00000361357.3	mitogen-activated protein kinase kinase kinase 3 	144	1	0	1	0	0	0	0	0	2	hsa-miR-15b-5p	-0.25	-0.26	0.58	2005, 2007
ISOC1	ENST00000173527.5	isochorismatase domain containing 1 	390	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.25	-0.25	0.50	2007, 2009, 2011
GNA12	ENST00000275364.3	guanine nucleotide binding protein (G protein) alpha 12 	565	1	1	0	0	0	0	0	0	1	hsa-miR-497-5p	-0.25	-0.25	0.39	2009, 2011
SLC23A3	ENST00000396775.3	solute carrier family 23, member 3 	9	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.25	-0.25	ORF	
ABTB2	ENST00000435224.2	ankyrin repeat and BTB (POZ) domain containing 2 	5	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.25	-0.25	0.73	2009, 2011
CINP	ENST00000541568.2	cyclin-dependent kinase 2 interacting protein 	2407	1	0	1	0	1	0	1	0	1	hsa-miR-15a-5p	-0.25	-0.25	< 0.1	
ARL5B	ENST00000377275.3	ADP-ribosylation factor-like 5B 	368	1	0	0	1	1	0	0	1	2	hsa-miR-424-5p	-0.25	-0.45	0.79	2011
NBEAL1	ENST00000449802.1	neurobeachin-like 1 	42	1	1	0	0	2	0	2	0	1	hsa-miR-16-5p	-0.25	-0.27	0.92	
TTL	ENST00000233336.6	tubulin tyrosine ligase 	442	1	0	1	0	0	0	0	0	3	hsa-miR-424-5p	-0.25	-0.26	0.53	2007, 2009, 2011
ABCF3	ENST00000429586.2	ATP-binding cassette, sub-family F (GCN20), member 3 	710	1	0	1	0	1	0	0	1	4	hsa-miR-497-5p	-0.25	-0.33	0.75	
UCP2	ENST00000536983.1	uncoupling protein 2 (mitochondrial, proton carrier) 	32	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.25	-0.25	0.46	2009, 2011
ZBTB10	ENST00000430430.1	zinc finger and BTB domain containing 10 	113	1	0	1	0	0	0	0	0	1	hsa-miR-195-5p	-0.25	-0.26	0.73	2005, 2007
PAX7	ENST00000420770.2	paired box 7 	7	1	0	1	0	2	0	2	0	2	hsa-miR-195-5p	-0.25	-0.25	0.77	2011
ADAMTS5	ENST00000284987.5	ADAM metallopeptidase with thrombospondin type 1 motif, 5 	68	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.25	-0.27	0.76	2005, 2007, 2009, 2011
RAPGEF1	ENST00000372189.3	Rap guanine nucleotide exchange factor (GEF) 1 	335	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.25	-0.25	0.62	2011
PBX3	ENST00000342287.5	pre-B-cell leukemia homeobox 3 	1142	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.25	-0.26	0.58	2005, 2007, 2011
LRP1B	ENST00000389484.3	low density lipoprotein receptor-related protein 1B 	26	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.25	-0.25	0.71	2005, 2007, 2009, 2011
PHLDA3	ENST00000367311.3	pleckstrin homology-like domain, family A, member 3 	82	1	0	1	0	1	0	1	0	1	hsa-miR-195-5p	-0.25	-0.28	0.81	2005, 2007, 2009, 2011
SALL1	ENST00000566102.1	sal-like 1 (Drosophila) 	95	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.25	-0.69	0.88	2007, 2009, 2011
PSKH1	ENST00000291041.5	protein serine kinase H1 	699	1	1	0	0	1	0	1	0	3	hsa-miR-497-5p	-0.25	-0.25	0.85	2005, 2007, 2009, 2011
EDAR	ENST00000409271.1	ectodysplasin A receptor 	7	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.25	-0.25	0.63	2009, 2011
FURIN	ENST00000268171.3	furin (paired basic amino acid cleaving enzyme) 	2306	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.25	-0.25	0.62	2005, 2007, 2009, 2011
NR2C2	ENST00000425241.1	nuclear receptor subfamily 2, group C, member 2 	227	1	0	1	0	1	0	1	0	4	hsa-miR-15b-5p	-0.25	-0.39	0.58	2009, 2011
C9orf69	ENST00000561457.1	chromosome 9 open reading frame 69 	134	1	0	1	0	0	0	0	0	3	hsa-miR-497-5p	-0.25	-0.26	< 0.1	2009, 2011
RGPD6	ENST00000329516.3	RANBP2-like and GRIP domain containing 6 	5	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.25	-0.28	0.67	
PELI2	ENST00000267460.4	pellino E3 ubiquitin protein ligase family member 2 	229	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.24	-0.26	0.92	2009, 2011
SOS2	ENST00000216373.5	son of sevenless homolog 2 (Drosophila) 	70	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.24	-0.24	0.56	2011
VAMP7	ENST00000286448.6	vesicle-associated membrane protein 7 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.24	-0.24	0.50	2005, 2007, 2009, 2011
TNFAIP1	ENST00000226225.2	tumor necrosis factor, alpha-induced protein 1 (endothelial) 	1565	1	0	1	0	0	0	0	0	1	hsa-miR-497-5p	-0.24	-0.24	0.78	2009, 2011
UBL3	ENST00000380680.4	ubiquitin-like 3 	431	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.24	-0.24	0.61	2009, 2011
ANKRD34A	ENST00000323397.4	ankyrin repeat domain 34A 	6	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.24	-0.24	0.58	2011
CDK6	ENST00000265734.4	cyclin-dependent kinase 6 	1116	1	0	1	0	1	0	1	0	5	hsa-miR-15b-5p	-0.24	-0.26	0.75	2009, 2011
SUCO	ENST00000367723.4	SUN domain containing ossification factor 	86	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.24	-0.29	0.62	2007, 2009, 2011
EN2	ENST00000297375.4	engrailed homeobox 2 	86	1	0	1	0	0	0	0	0	2	hsa-miR-15b-5p	-0.24	-0.40	0.69	2009, 2011
FRS2	ENST00000550389.1	fibroblast growth factor receptor substrate 2 	176	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.24	-0.40	0.64	2009, 2011
FZD4	ENST00000531380.1	frizzled family receptor 4 	5	2	0	2	0	1	0	1	0	1	hsa-miR-15a-5p	-0.24	-0.24	0.78	2011
OCRL	ENST00000371113.4	oculocerebrorenal syndrome of Lowe 	818	1	0	0	1	0	0	0	0	1	hsa-miR-497-5p	-0.24	-0.24	0.74	2005, 2007, 2009, 2011
ATG13	ENST00000359513.4	autophagy related 13 	834	2	0	2	0	1	0	1	0	3	hsa-miR-15b-5p	-0.24	-0.48	0.90	2009, 2011
AHNAK2	ENST00000557457.1	AHNAK nucleoprotein 2 	29	2	0	2	0	0	0	0	0	0	hsa-miR-195-5p	-0.24	-0.37	0.78	2009, 2011
NOS1	ENST00000317775.6	nitric oxide synthase 1 (neuronal) 	5	1	1	0	0	1	0	1	0	1	hsa-miR-497-5p	-0.24	-0.24	0.76	2011
KIF3B	ENST00000375712.3	kinesin family member 3B 	182	1	0	1	0	0	0	0	0	2	hsa-miR-16-5p	-0.24	-0.24	0.72	2009, 2011
ZBTB9	ENST00000395064.2	zinc finger and BTB domain containing 9 	1148	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.24	-0.24	0.46	2005, 2007, 2009, 2011
WAPAL	ENST00000298767.5	wings apart-like homolog (Drosophila) 	185	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.24	-0.27	0.68	2007, 2009, 2011
UBE2W	ENST00000517608.1	ubiquitin-conjugating enzyme E2W (putative) 	102	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.24	-0.32	0.65	
ZNF367	ENST00000375256.4	zinc finger protein 367 	325	1	0	0	1	0	0	0	0	0	hsa-miR-424-5p	-0.24	-0.24	0.82	2005, 2007, 2009, 2011
PPP2R1A	ENST00000322088.6	protein phosphatase 2, regulatory subunit A, alpha 	65937	1	0	1	0	2	0	1	1	1	hsa-miR-15a-5p	-0.24	-0.30	0.74	2005, 2007, 2009, 2011
PDAP1	ENST00000350498.3	PDGFA associated protein 1 	208	1	0	0	1	0	0	0	0	1	hsa-miR-497-5p	-0.24	-0.24	0.86	2005, 2007, 2009, 2011
ADAMTS3	ENST00000286657.4	ADAM metallopeptidase with thrombospondin type 1 motif, 3 	5	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.24	-0.24	0.14	2005, 2007
SALL3	ENST00000575389.2	sal-like 3 (Drosophila) 	64	1	0	0	1	0	0	0	0	0	hsa-miR-424-5p	-0.24	-0.26	0.82	2005, 2007
ADAMTSL3	ENST00000286744.5	ADAMTS-like 3 	9	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.24	-0.24	0.60	2005, 2007, 2009, 2011
KATNB1	ENST00000379661.3	katanin p80 (WD repeat containing) subunit B 1 	949	1	0	1	0	1	0	1	0	0	hsa-miR-15a-5p	-0.24	-0.24	0.46	2009, 2011
POLR3D	ENST00000397802.4	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa 	678	1	0	1	0	0	0	0	0	4	hsa-miR-15a-5p	-0.24	-0.27	0.43	
MT1H	ENST00000569155.1	metallothionein 1H 	5	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.24	-0.24	ORF	
C14orf1	ENST00000256319.6	chromosome 14 open reading frame 1 	4423	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.24	-0.24	0.69	2009, 2011
PIP4K2C	ENST00000354947.5	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma 	457	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.24	-0.24	0.53	2011
AIFM1	ENST00000535724.1	apoptosis-inducing factor, mitochondrion-associated, 1 	2582	1	0	0	1	1	0	1	0	0	hsa-miR-16-5p	-0.24	-0.45	0.31	
ARHGAP18	ENST00000368149.2	Rho GTPase activating protein 18 	176	1	0	1	0	1	0	1	0	0	hsa-miR-16-5p	-0.24	-0.45	0.70	
AKAP12	ENST00000402676.2	A kinase (PRKA) anchor protein 12 	913	1	0	1	0	0	0	0	0	2	hsa-miR-15b-5p	-0.24	-0.28	0.68	2011
SMIM13	ENST00000416247.2	small integral membrane protein 13 	199	2	0	2	0	0	0	0	0	0	hsa-miR-15a-5p	-0.24	-0.67	0.92	2011
CACNB1	ENST00000394303.3	calcium channel, voltage-dependent, beta 1 subunit 	81	2	0	2	0	0	0	0	0	3	hsa-miR-195-5p	-0.24	-0.25	0.87	2005, 2007, 2009, 2011
ANKRD13B	ENST00000394859.3	ankyrin repeat domain 13B 	72	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.24	-0.24	0.85	2007, 2009, 2011
AMMECR1	ENST00000262844.5	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.24	-0.24	0.71	2009, 2011
TASP1	ENST00000337743.4	taspase, threonine aspartase, 1 	58	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.24	-0.24	0.64	2009, 2011
MINOS1	ENST00000322753.6	mitochondrial inner membrane organizing system 1 	287	1	0	1	0	1	0	1	0	0	hsa-miR-15b-5p	-0.24	-0.29	0.46	
TMEM248	ENST00000341567.4	transmembrane protein 248 	3207	1	0	0	1	0	0	0	0	0	hsa-miR-15a-5p	-0.24	-0.28	0.75	2011
PEX5	ENST00000266563.5	peroxisomal biogenesis factor 5 	2114	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.24	-0.24	0.64	2007, 2009, 2011
LRRN3	ENST00000422987.3	leucine rich repeat neuronal 3 	24	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.24	-0.24	0.56	2005, 2007, 2011
GABPA	ENST00000354828.3	GA binding protein transcription factor, alpha subunit 60kDa 	8	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.24	-0.24	0.54	2009, 2011
SLC12A2	ENST00000262461.2	solute carrier family 12 (sodium/potassium/chloride transporter), member 2 	655	1	1	0	0	1	0	1	0	0	hsa-miR-16-5p	-0.23	-0.26	0.87	2005, 2007, 2009, 2011
CSF1	ENST00000329608.6	colony stimulating factor 1 (macrophage) 	290	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.23	-0.24	0.59	
AGO3	ENST00000373191.4	argonaute RISC catalytic component 3 	198	2	1	0	1	1	0	0	1	0	hsa-miR-16-5p	-0.23	-0.56	0.91	
ELMO2	ENST00000290246.6	engulfment and cell motility 2 	22	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.23	-0.23	0.66	2007, 2009, 2011
ZBTB37	ENST00000367701.5	zinc finger and BTB domain containing 37 	213	1	0	1	0	1	0	1	0	1	hsa-miR-16-5p	-0.23	-0.24	0.53	
GATA4	ENST00000335135.4	GATA binding protein 4 	5	1	0	1	0	0	0	0	0	1	hsa-miR-424-5p	-0.23	-0.23	0.51	2009
A4GNT	ENST00000236709.3	alpha-1,4-N-acetylglucosaminyltransferase 	5	1	0	1	0	0	0	0	0	0	hsa-miR-424-5p	-0.23	-0.23	0.45	
PPM1A	ENST00000395076.4	protein phosphatase, Mg2+/Mn2+ dependent, 1A 	412	1	0	1	0	2	1	1	0	1	hsa-miR-195-5p	-0.23	-0.57	0.75	2011
GCC2	ENST00000309863.6	GRIP and coiled-coil domain containing 2 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.23	-0.23	0.73	2009, 2011
PHF20	ENST00000439301.1	PHD finger protein 20 	191	2	0	2	0	0	0	0	0	3	hsa-miR-15b-5p	-0.23	-0.26	0.58	2005, 2007, 2009, 2011
DZIP1	ENST00000347108.3	DAZ interacting zinc finger protein 1 	360	1	0	1	0	1	0	1	0	0	hsa-miR-16-5p	-0.23	-0.37	0.48	2009, 2011
FAT3	ENST00000298047.6	FAT atypical cadherin 3 	30	1	0	1	0	1	0	1	0	2	hsa-miR-195-5p	-0.23	-0.23	0.70	2009
AMIGO3	ENST00000320431.7	adhesion molecule with Ig-like domain 3 	24	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.23	-0.23	0.46	2011
CDV3	ENST00000420115.2	CDV3 homolog (mouse) 	523	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.23	-0.31	0.35	2007, 2009, 2011
NAV1	ENST00000295624.6	neuron navigator 1 	702	1	1	0	0	1	0	1	0	0	hsa-miR-16-5p	-0.23	-0.24	0.89	2005, 2007, 2009, 2011
AMIGO1	ENST00000369864.4	adhesion molecule with Ig-like domain 1 	167	1	0	1	0	0	0	0	0	3	hsa-miR-15b-5p	-0.23	-0.23	0.43	
EBI3	ENST00000221847.5	Epstein-Barr virus induced 3 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.23	-0.23	0.73	
SCN4B	ENST00000324727.4	sodium channel, voltage-gated, type IV, beta subunit 	13	1	0	1	0	0	0	0	0	1	hsa-miR-424-5p	-0.23	-0.23	0.72	2011
FRYL	ENST00000503238.1	FRY-like 	276	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.23	-0.23	0.70	2007, 2009, 2011
SLC22A17	ENST00000354772.3	solute carrier family 22, member 17 	271	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.23	-0.23	0.56	2011
RSF1	ENST00000308488.6	remodeling and spacing factor 1 	216	1	0	1	0	2	0	1	1	0	hsa-miR-15a-5p	-0.23	-0.25	0.78	
CAPN6	ENST00000324068.1	calpain 6 	5	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.23	-0.23	0.80	2005, 2007, 2009, 2011
SAMD4A	ENST00000392067.3	sterile alpha motif domain containing 4A 	449	1	0	1	0	0	0	0	0	0	hsa-miR-424-5p	-0.23	-0.26	0.68	2011
CBX6	ENST00000407418.3	chromobox homolog 6 	215	2	0	2	0	1	0	1	0	2	hsa-miR-15b-5p	-0.23	-0.46	0.92	
AGAP2-AS1	ENST00000542466.2	AGAP2 antisense RNA 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.23	-0.23	ORF	
SRSF10	ENST00000343255.5	serine/arginine-rich splicing factor 10 	1920	1	0	0	1	0	0	0	0	0	hsa-miR-497-5p	-0.23	-0.24	0.83	
NOTCH2	ENST00000256646.2	notch 2 	734	1	0	1	0	2	0	2	0	1	hsa-miR-16-5p	-0.23	-0.25	0.74	2009, 2011
ADAP1	ENST00000265846.5	ArfGAP with dual PH domains 1 	328	1	0	1	0	0	0	0	0	2	hsa-miR-15a-5p	-0.23	-0.26	0.61	
PTPRJ	ENST00000418331.2	protein tyrosine phosphatase, receptor type, J 	145	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.23	-0.25	0.76	2009, 2011
SLC39A10	ENST00000409086.3	solute carrier family 39 (zinc transporter), member 10 	511	1	1	0	0	0	0	0	0	1	hsa-miR-497-5p	-0.23	-0.23	0.40	2005, 2007, 2009, 2011
FAM81A	ENST00000288228.5	family with sequence similarity 81, member A 	53	1	1	0	0	0	0	0	0	0	hsa-miR-16-5p	-0.23	-0.45	0.64	2007, 2009, 2011
MTFR1L	ENST00000474295.1	mitochondrial fission regulator 1-like 	3051	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.23	-0.24	0.52	2007, 2009, 2011
SLITRK6	ENST00000400286.2	SLIT and NTRK-like family, member 6 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.23	-0.23	0.65	2009, 2011
RP11-73M18.2	ENST00000472726.2	Kinesin light chain 1  	499	1	0	1	0	2	0	1	1	1	hsa-miR-15a-5p	-0.22	-0.59	0.52	
ESRRG	ENST00000361525.3	estrogen-related receptor gamma 	5	1	0	1	0	0	0	0	0	2	hsa-miR-16-5p	-0.22	-0.22	0.66	2005, 2007, 2009, 2011
FAM65B	ENST00000259698.4	family with sequence similarity 65, member B 	7	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.22	-0.22	0.66	2009, 2011
DDX54	ENST00000314045.7	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54 	1332	1	0	1	0	0	0	0	0	4	hsa-miR-15a-5p	-0.22	-0.27	0.56	2011
FAM58A	ENST00000406277.2	family with sequence similarity 58, member A 	60	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.22	-0.22	0.54	
CD69	ENST00000228434.3	CD69 molecule 	5	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.22	-0.22	0.45	2011
SENP5	ENST00000323460.5	SUMO1/sentrin specific peptidase 5 	125	1	1	0	0	0	0	0	0	1	hsa-miR-497-5p	-0.22	-0.28	0.86	2009, 2011
SORT1	ENST00000256637.6	sortilin 1 	2111	1	0	1	0	1	0	1	0	0	hsa-miR-195-5p	-0.22	-0.24	0.71	2009, 2011
WWC1	ENST00000265293.4	WW and C2 domain containing 1 	43	1	0	1	0	5	0	3	2	1	hsa-miR-16-5p	-0.22	-0.28	0.83	2011
GJA9	ENST00000454994.2	gap junction protein, alpha 9, 59kDa 	85	1	0	0	1	0	0	0	0	2	hsa-miR-497-5p	-0.22	-0.24	< 0.1	
ADORA2A	ENST00000337539.7	adenosine A2a receptor 	337	1	1	0	0	0	0	0	0	2	hsa-miR-497-5p	-0.22	-0.22	0.59	2009, 2011
SLC35A4	ENST00000323146.3	solute carrier family 35, member A4 	334	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.22	-0.22	0.53	2009, 2011
RASSF5	ENST00000367117.3	Ras association (RalGDS/AF-6) domain family member 5 	27	1	0	1	0	1	0	1	0	0	hsa-miR-15a-5p	-0.22	-0.28	0.85	2011
VPS37C	ENST00000301765.5	vacuolar protein sorting 37 homolog C (S. cerevisiae) 	3267	1	0	0	1	0	0	0	0	1	hsa-miR-424-5p	-0.22	-0.22	0.82	2005, 2007, 2009, 2011
ZNF654	ENST00000309495.5	zinc finger protein 654 	456	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.22	-0.25	0.69	2007, 2009, 2011
GDI2	ENST00000380191.4	GDP dissociation inhibitor 2 	664	2	0	2	0	0	0	0	0	0	hsa-miR-16-5p	-0.22	-0.25	0.90	
HSPG2	ENST00000374695.3	heparan sulfate proteoglycan 2 	616	1	1	0	0	1	0	0	1	0	hsa-miR-497-5p	-0.22	-0.23	0.77	2005, 2007, 2009, 2011
PUF60	ENST00000526683.1	poly-U binding splicing factor 60KDa 	7802	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.22	-0.22	0.53	2011
CGNL1	ENST00000281282.5	cingulin-like 1 	25	1	0	1	0	1	0	1	0	2	hsa-miR-195-5p	-0.22	-0.22	0.67	2009
CSDE1	ENST00000339438.6	cold shock domain containing E1, RNA-binding 	435	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.22	-0.22	ORF	2007, 2009, 2011
RGMA	ENST00000557420.1	RGM domain family, member A 	145	1	0	1	0	1	0	1	0	2	hsa-miR-15b-5p	-0.22	-0.23	0.46	2011
FAM189A1	ENST00000261275.4	family with sequence similarity 189, member A1 	12	1	0	0	1	2	0	2	0	6	hsa-miR-497-5p	-0.22	-0.22	0.69	
FKRP	ENST00000318584.5	fukutin related protein 	989	1	0	0	1	0	0	0	0	1	hsa-miR-424-5p	-0.22	-0.26	0.65	
SIK1	ENST00000270162.6	salt-inducible kinase 1 	2163	3	0	3	0	1	0	1	0	0	hsa-miR-15a-5p	-0.22	-0.22	0.51	2009
CCDC88C	ENST00000389857.6	coiled-coil domain containing 88C 	42	1	0	1	0	1	0	1	0	0	hsa-miR-15a-5p	-0.22	-0.24	0.60	2011
CX3CL1	ENST00000006053.6	chemokine (C-X3-C motif) ligand 1 	218	1	0	1	0	0	0	0	0	1	hsa-miR-424-5p	-0.22	-0.22	0.57	2005, 2007, 2011
KIF1C	ENST00000320785.5	kinesin family member 1C 	149	1	0	0	1	0	0	0	0	2	hsa-miR-497-5p	-0.22	-0.23	0.86	2005, 2007, 2009, 2011
CHD6	ENST00000373233.3	chromodomain helicase DNA binding protein 6 	85	1	0	1	0	0	0	0	0	2	hsa-miR-195-5p	-0.22	-0.24	0.61	2009, 2011
EIF3A	ENST00000369144.3	eukaryotic translation initiation factor 3, subunit A 	638	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.22	-0.22	0.77	2005, 2007, 2009, 2011
CD164	ENST00000368961.5	CD164 molecule, sialomucin 	2038	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.22	-0.24	0.68	2005, 2007, 2009, 2011
POM121C	ENST00000257665.5	POM121 transmembrane nucleoporin C 	5	1	0	1	0	1	0	1	0	1	hsa-miR-15a-5p	-0.22	-0.22	0.72	2011
AOC1	ENST00000493429.1	amine oxidase, copper containing 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.22	-0.22	0.64	
TMC7	ENST00000421369.3	transmembrane channel-like 7 	54	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.22	-0.47	0.86	2011
GPC6	ENST00000377047.4	glypican 6 	410	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.22	-0.23	0.69	2011
CARD10	ENST00000403299.1	caspase recruitment domain family, member 10 	65	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.22	-0.22	0.62	2005, 2007, 2009, 2011
TMPPE	ENST00000416695.2	transmembrane protein with metallophosphoesterase domain 	22	1	0	1	0	2	0	1	1	2	hsa-miR-497-5p	-0.22	-0.22	0.52	
SYTL2	ENST00000389960.4	synaptotagmin-like 2 	81	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.22	-0.24	ORF	2009, 2011
